ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
E33148,個人（組合発行者を除く）,,,,,日野　靖久,,ヒノ　ヤスヒサ,,個人（組合発行者を除く）,,
E33149,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,株式会社スターダスト,,カブシキガイシャスターダスト,港区赤坂一丁目１１番４４号,内国法人・組合（有価証券報告書等の提出義務者以外）,,6010401130224
E33168,個人（組合発行者を除く）,,,,,藤崎　清孝,,フジサキ　キヨタカ,,個人（組合発行者を除く）,,
E33169,個人（組合発行者を除く）,,,,,永田　健二,,ナガタ　ケンジ,,個人（組合発行者を除く）,,
E33175,外国政府等,,,0,12月31日,インドネシア共和国,,インドネシアキョウワコク,Ｆｒａｎｓ　Ｓｅｄａ　Ｂｕｉｌｄｉｎｇ　２ｎｄ　Ｆｌｏｏｒ，Ｊａｌａｎ　Ｄｒ　Ｗａｈｉｄｉｎ　Ｒａｙａ　Ｎｏ．　１　Ｊａｋａｒｔａ　１０７１０，　Ｉｎｄｏｎｅｓｉａ,外国政府等,,
E33178,外国法人・組合（有価証券報告書等の提出義務者以外）,,,18711,,ベインキャピタル・スティング・ホンコン・リミテッド,,ベインキャピタルスティングホンコンリミテッド,香港、クイーンズロードセントラル２、チョンコンセンター５１０１,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33179,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,伊藤忠フードインベストメント合同会社,,イトウチュウフードインベストメント,港区北青山二丁目５番１号,内国法人・組合（有価証券報告書等の提出義務者以外）,,4010403016299
E33188,外国法人・組合（有価証券報告書等の提出義務者以外）,,,10,,コンシューマー　エクイティ　インベストメンツ　リミテッド,,コンシューマー　エクイティ　インベストメンツ　リミテッド,アイルランド共和国、ダブリン１、ノース・ウォール・キー２５－２８,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33189,個人（組合発行者を除く）,,,,,飯島　雅宏,,イイジマ　マサヒロ,,個人（組合発行者を除く）,,
E33190,個人（組合発行者を除く）,,,,,村木　敏雄,,ムラキ　トシオ,,個人（組合発行者を除く）,,
E33191,個人（組合発行者を除く）,,,,,村木　雄哉,,ムラキ　タケヤ,,個人（組合発行者を除く）,,
E33195,個人（組合発行者を除く）,,,,,莅戸　道人,,ノゾキド　ミチヒト,,個人（組合発行者を除く）,,
E33196,外国法人・組合（有価証券報告書等の提出義務者以外）,,,5,,パーソンズ　ミュージック　コーポレーション,,パーソンズミュージックコーポレーション,英国領バージン諸島トートラ・ロードタウン・私書箱３１５２,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33197,外国法人・組合（有価証券報告書等の提出義務者以外）,,,3,,Ｓｏｕｎｄ‐Ｓｅｒｖｉｃｅ　Ｍｕｓｉｋａｎｌａｇｅｎ‐Ｖｅｒｔｒｉｅｂｓｇｅｓｅｌｌｓｃｈａｆｔ　ｍｂＨ,,サウンドサービス　ミュージックシステム　ディストリビュータ　ユウゲンカイシャ,Ｂｅｒｌｉｎ　Ｐａｒｉｓｅｒ　Ｓｔｒ．９，１０７１９　Ｂｅｒｌｉｎ,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33201,個人（組合発行者を除く）,,,,,山野　義友,,ヤマノ　ヨシトモ,,個人（組合発行者を除く）,,
E33204,外国法人・組合（有価証券報告書等の提出義務者以外）,,,2245,,ＥＶＥＲＥＴＴ　ＳＰＩＮＣＯ，　ＩＮＣ．,,エヴェレット　スピンコ　インク,アメリカ合衆国デラウェア州１９８０１、ニューキャッスルカウンティ、ウィルミントン、オレンジストリート１２０９、コーポレーショントラストセンター,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33205,内国法人・組合（有価証券報告書等の提出義務者以外）,,,20,,Ｈｉｌｌ＆Ｐａｒｔｎｅｒｓ株式会社,,ヒルアンドパートナーズカブシキガイシャ,千代田区大手町一丁目５番１号,内国法人・組合（有価証券報告書等の提出義務者以外）,,2010001132384
E33206,個人（組合発行者を除く）,,,,,佐藤　兼義,,サトウ　カネヨシ,,個人（組合発行者を除く）,,
E33207,個人（非居住者）（組合発行者を除く）,,,,,ＲＯＢＥＲＴ　ＴＥＲＴＳＵ　ＨＵＡＮＧ,,ロバート　ファン,,個人（非居住者）（組合発行者を除く）,,
E33209,内国法人・組合（有価証券報告書等の提出義務者以外）,,,100,,株式会社ＴＢＩホールディングス,,カブシキカイシャティービーアイホールディングス,新宿区新宿二丁目１６番６号,内国法人・組合（有価証券報告書等の提出義務者以外）,,8010001151296
E33210,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,株式会社コモンズ＆センス,,カブシキカイシャコモンズアンドセンス,尼崎市武庫之荘東二丁目３番８号,内国法人・組合（有価証券報告書等の提出義務者以外）,,1140001105634
E33211,内国法人・組合（有価証券報告書等の提出義務者以外）,,,10,,株式会社ワゴン,,カブシキガイシャワゴン,大阪市中央区南久宝寺町３丁目３番１１号,内国法人・組合（有価証券報告書等の提出義務者以外）,,5120001092581
E33214,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,株式会社ｇａｔｚ,,カブシキガイシャガッツ,渋谷区神宮前六丁目２８番９号東武ビル６階,内国法人・組合（有価証券報告書等の提出義務者以外）,,4010801026544
E33215,個人（組合発行者を除く）,,,,,江藤　公則,,エトウ　マサノリ,,個人（組合発行者を除く）,,
E33217,個人（組合発行者を除く）,,,,,西山　貴司,,ニシヤマ　タカシ,,個人（組合発行者を除く）,,
E33219,個人（組合発行者を除く）,,,,,正岡　昌子,,マサオカ　マサコ,,個人（組合発行者を除く）,,
E33220,内国法人・組合（有価証券報告書等の提出義務者以外）,,,5,,力成科技日本合同会社,,リキセイカギニホンゴウドウカイシャ,千代田区大手町一丁目１番２号大手門タワー西村あさひ法律事務所内,内国法人・組合（有価証券報告書等の提出義務者以外）,,7010003024641
E33222,個人（組合発行者を除く）,,,,,佐藤　直浩,,サトウ　ナオヒロ,,個人（組合発行者を除く）,,
E33223,個人（組合発行者を除く）,,,,,松浦　崇,,マツウラ　タカシ,,個人（組合発行者を除く）,,
E33225,個人（組合発行者を除く）,,,,,岡　靖子,,オカ　ヤスコ,,個人（組合発行者を除く）,,
E33226,個人（組合発行者を除く）,,,,,永森　信一,,ナガモリ　シンイチ,,個人（組合発行者を除く）,,
E33227,外国法人・組合（有価証券報告書等の提出義務者以外）,,,1950,,穎台投資控股股分有限公司,,エンタイヤホールディンググループリミテッド,台湾台北市大安区敦化南路２段９７号２５階,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33228,内国法人・組合（有価証券報告書等の提出義務者以外）,,,40,,株式会社　山﨑砂利商店,,カブシキガイシャヤマザキジャリショウテン,大津市浜大津四丁目７－６,内国法人・組合（有価証券報告書等の提出義務者以外）,,3160001001994
E33229,個人（組合発行者を除く）,,,,,吉田　弘,,ヨシダ　ヒロシ,,個人（組合発行者を除く）,,
E33230,個人（組合発行者を除く）,,,,,小栗　弘　相続人代表　小栗　洋行,,オグリ　ヒロシ　ソウゾクニンダイヒョウ　オグリ　ヒロユキ,,個人（組合発行者を除く）,,
E33231,個人（組合発行者を除く）,,,,,小栗　洋行,,オグリ　ヒロユキ,,個人（組合発行者を除く）,,
E33232,内国法人・組合,上場,無,60,6月末日,株式会社ビーブレイクシステムズ,"bBreak Systems Company, Limited",ビーブレイクシステムズ,品川区西五反田２－１９－３,情報・通信業,39860,7010701013986
E33233,個人（組合発行者を除く）,,,,,齋藤　敬一郎,,サイトウ　ケイイチロウ,,個人（組合発行者を除く）,,
E33234,外国法人・組合（有価証券報告書等の提出義務者以外）,,,9052,,南通江海電容器股分有限公司,,ナントンジャンハイデンヨウキグフンユウゲンコウシ,中国　江蘇省南通市通州区平潮鎮通揚南路７９号,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33235,内国法人・組合,上場,有,359,7月末日,株式会社ＳＹＳホールディングス,,カブシキガイシャエスワイエスホールディングス,名古屋市東区代官町３５番１６号,情報・通信業,39880,5180001110767
E33236,個人（組合発行者を除く）,,,,,鈴木　裕紀,,スズキ　ヒロノリ,,個人（組合発行者を除く）,,
E33237,内国法人・組合,上場,無,53,3月31日,エコモット株式会社,,エコモットカブシキガイシャ,札幌市中央区北一条東二丁目５番２号,サービス業,39870,6430001034659
E33238,内国法人・組合,上場,無,334,3月31日,Ｆｒｉｎｇｅ８１株式会社,,フリンジハチイチカブシキガイシャ,港区六本木６－１０－１　六本木ヒルズ森タワー８Ｆ,サービス業,65500,4011001092468
E33239,個人（組合発行者を除く）,,,,,安田　鉄也,,ヤスダ　テツヤ,,個人（組合発行者を除く）,,
E33240,外国法人・組合（有価証券報告書等の提出義務者以外）,,,13646,,Ｓｕｎ　Ｙｅ　Ｃｏｍｐａｎｙ　Ｌｉｍｉｔｅｄ,,スンイェカンパニーリミテッド,香港、セントラル、ファイナンス・ストリート８、インターナショナル・ファイナンス・センター２、２３階,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33241,個人（組合発行者を除く）,,,,,井上　恵博,,イノウエ　ヨシヒロ,,個人（組合発行者を除く）,,
E33242,内国法人・組合,上場,有,666,9月末日,シェアリングテクノロジー株式会社,SHARINGTECHNOLOGY.INC,シェアリングテクノロジーカブシキガイシャ,名古屋市中村区名駅一丁目１番１号　ＪＰタワー名古屋１９Ｆ,情報・通信業,39890,2180001061708
E33244,個人（組合発行者を除く）,,,,,福村　寛敏,,フクムラ　ヒロトシ,,個人（組合発行者を除く）,,
E33245,個人（組合発行者を除く）,,,,,花矢　卓司,,ハナヤ　タクジ,,個人（組合発行者を除く）,,
E33246,個人（組合発行者を除く）,,,,,嶋崎　章,,シマザキ　アキラ,,個人（組合発行者を除く）,,
E33247,内国法人・組合,上場,無,73,3月末日,ディーエムソリューションズ株式会社,,ディーエムソリューションズカブシキガイシャ,武蔵野市御殿山一丁目１番３号,サービス業,65490,9012401014057
E33248,内国法人・組合（有価証券報告書等の提出義務者以外）,,,10,,株式会社デイビットアンドパートナーズ,,カブシキガイシャデイビットアンドパートナーズ,港区高輪二丁目１５番１５号,内国法人・組合（有価証券報告書等の提出義務者以外）,,5011001067213
E33249,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,サイアムライジングインベストメント１号合同会社,,サイアムライジングインベストメントイチゴウゴウドウガイシャ,千代田区九段北一丁目４番１号,内国法人・組合（有価証券報告書等の提出義務者以外）,,9010003025019
E33251,内国法人・組合（有価証券報告書等の提出義務者以外）,,,0,,ＥＦＣ１合同会社,,イーエフシーワンゴウドウカイシャ,千代田区丸の内三丁目１番１号東京共同会計事務所内,内国法人・組合（有価証券報告書等の提出義務者以外）,,5010003025121
E33252,内国法人・組合（有価証券報告書等の提出義務者以外）,,,2,,未来Ａ．Ｋ．Ｏ株式会社,,ミライエーケーオーカブシキガイシャ,大垣市鷹匠町１１番地,内国法人・組合（有価証券報告書等の提出義務者以外）,,2200001033687
E33254,内国法人・組合,上場,無,340,5月31日,株式会社ＧａｍｅＷｉｔｈ,"GameWith,Inc.",カブシキガイシャゲームウィズ,港区六本木六丁目１０番１号,情報・通信業,65520,2010401106079
E33256,個人（組合発行者を除く）,,,,,白岩　次郎,,シライワ　ジロウ,,個人（組合発行者を除く）,,
E33257,個人（組合発行者を除く）,,,,,上川　伸彦,,カミカワ　ノブヒコ,,個人（組合発行者を除く）,,
E33258,個人（組合発行者を除く）,,,,,高橋　明,,タカハシ　アキラ,,個人（組合発行者を除く）,,
E33259,個人（組合発行者を除く）,,,,,鹿取　裕樹,,カトリ　ヒロキ,,個人（組合発行者を除く）,,
E33261,内国法人・組合（有価証券報告書等の提出義務者以外）,,,15,,有限会社宮脇商事,,ユウゲンガイシャミヤワキショウジ,高松市三名町７９,内国法人・組合（有価証券報告書等の提出義務者以外）,,6470002006835
E33262,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,グローイングストック合同会社,,グローイングストックゴウドウガイシャ,中央区築地４－３－１１,内国法人・組合（有価証券報告書等の提出義務者以外）,,7010403012485
E33263,内国法人・組合（有価証券報告書等の提出義務者以外）,,,3,,有限会社光和,,ユウゲンガイシャコウワ,春日井市中央台七丁目１番地の２,内国法人・組合（有価証券報告書等の提出義務者以外）,,9180002065899
E33269,個人（組合発行者を除く）,,,,,松本　和久,,マツモト　カズヒサ,,個人（組合発行者を除く）,,
