,url,code,提出者種別,上場区分,連結の有無,資本金,決算日,name,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
3708,3708,E05680,内国法人・組合,上場,有,4514.0,4月30日,フリービット株式会社,"FreeBit Co., Ltd.",フリービットカブシキカイシャ,渋谷区円山町３番６号,情報・通信業,38430.0,8011001034292.0
3709,3709,E05681,内国法人・組合,非上場,無,309.0,3月31日,データリンクス株式会社,DATALINKS CORPORATION,データリンクスカブシキガイシャ,新宿区西新宿二丁目７番１号,サービス業,,2011101005216.0
3710,3710,E05682,内国法人・組合,上場,有,1058.0,3月31日,株式会社アイフリーク　モバイル,I-FREEK MOBILE INC.,カブシキガイシャアイフリークモバイル,福岡市博多区博多駅前三丁目２番８号,情報・通信業,38450.0,2290001021923.0
3711,3711,E05684,内国法人・組合,上場,有,627.0,12月31日,株式会社ケアネット,"CareNet,Inc.",カブシキガイシャケアネット,千代田区九段南１丁目５番６号,サービス業,21500.0,4010001075490.0
3712,3712,E05685,内国法人・組合,上場,有,6640.0,3月31日,株式会社タケエイ,TAKEEI CORPORATION,カブシキガイシャ　タケエイ,港区芝公園二丁目４番１号Ａ－１０階,サービス業,21510.0,9010401077017.0
3713,3713,E05686,内国法人・組合,上場,有,1670.0,3月31日,アイティメディア株式会社,ITmedia Inc.,アイティメディアカブシキガイシャ,千代田区紀尾井町３番１２号,サービス業,21480.0,1010001092299.0
3714,3714,E05687,内国法人・組合,上場,有,777.0,3月31日,パシフィックシステム株式会社,PACIFIC SYSTEMS CORPORATION,パシフィックシステムカブシキカイシャ,さいたま市桜区田島八丁目４番１９号,情報・通信業,38470.0,4030001034271.0
3715,3715,E05688,内国法人・組合,上場,有,430.0,3月31日,株式会社データ・アプリケーション,"Data Applications Company, Limited",カブシキガイシャデータアプリケーション,中央区日本橋人形町一丁目３番８号,情報・通信業,38480.0,9010001051124.0
3716,3716,E05690,内国法人・組合,上場,無,401.0,3月31日,日本テクノ・ラボ株式会社,NIPPON TECHNO LAB INC.,ニホンテクノラボカブシキガイシャ,千代田区平河町一丁目２番１０号,情報・通信業,38490.0,5010001062315.0
3717,3717,E05691,内国法人・組合,上場,無,499.0,3月31日,幼児活動研究会株式会社,Youji Corporation,ヨウジカツドウケンキュウカイカブシキガイシャ,品川区西五反田２－１１－１７,サービス業,21520.0,3010701010137.0
